Building,Business,Entertainment,Medicine,Otdoor,Religion,Residence,Restaurant,School,Shopping,Snackbar,Sports,Traffic
0,1,3,4,2,2,0,6,2,0,0,1,0,8
1,2,4,11,7,9,1,20,2,1,3,5,0,9
2,1,0,11,1,10,1,7,0,2,1,0,0,1
3,0,1,3,0,4,2,1,0,0,0,1,0,2
4,1,0,1,0,2,0,1,0,0,0,0,0,0
5,2,1,2,0,2,0,1,0,0,0,0,0,0
6,0,1,1,0,0,0,0,0,0,0,0,0,0
7,0,1,4,0,0,0,2,1,1,0,0,0,1
8,0,0,1,0,4,1,1,0,0,0,0,0,1
9,0,0,2,0,4,0,9,1,0,0,0,1,2
10,0,0,5,0,4,3,10,1,0,2,0,1,4
11,0,0,6,0,0,1,1,0,0,1,0,0,0
12,0,0,0,1,1,1,0,0,0,0,0,0,0
13,0,0,2,1,0,2,2,0,0,1,1,0,3
14,0,0,2,1,0,1,2,0,0,0,0,0,0
15,4,7,17,3,3,6,2,0,1,0,0,0,0
16,1,0,2,0,1,2,1,0,1,0,0,0,0
17,9,4,5,4,5,1,6,0,3,1,2,2,3
18,2,1,11,3,3,3,3,0,1,0,3,2,1
19,1,1,3,0,1,0,1,0,1,0,1,2,0
20,1,0,7,3,1,3,2,0,0,0,2,0,2
21,0,0,2,2,1,1,2,0,0,1,2,0,0
22,8,4,5,3,4,0,5,0,3,0,1,2,3
23,2,1,18,2,1,8,5,0,2,1,1,1,0
24,0,0,3,0,0,2,2,0,0,1,1,0,3
25,2,0,1,0,1,0,0,0,0,0,0,0,0
26,1,4,4,2,2,0,8,2,0,0,1,0,8
27,1,1,4,0,0,3,0,0,0,2,0,1,0
28,3,7,7,4,13,2,20,5,0,3,1,0,10
29,1,1,2,3,2,1,1,0,0,0,0,0,2
30,1,1,15,5,4,0,0,0,0,1,0,1,2
31,0,2,10,3,3,0,10,1,1,1,2,3,1
32,0,7,16,5,15,5,29,3,3,2,4,1,2
33,0,2,8,1,11,1,4,2,1,2,1,2,2
34,3,2,7,1,12,2,7,0,4,1,0,1,4
35,0,1,8,2,12,3,7,1,1,0,1,0,2
36,1,2,14,2,2,7,4,0,2,0,1,0,0
37,4,7,11,2,4,3,4,0,2,0,0,0,1
38,1,1,4,3,2,1,1,0,0,0,0,0,2
39,4,7,17,3,3,6,2,0,1,0,0,0,0
